Customer,"Sold Tons","Quoted Tons (From 'Jobs Quoted')","Quoted Tons That We Sold To Others (From 'Jobs Quoted')","Quoted Tons That We Sold (From 'Jobs Quoted')","Quoted Tons (From 'Quoted Vs. Sold')","Quoted Tons That We Sold To Others (From 'Quoted Vs. Sold')","Quoted Tons That We Sold (From 'Quoted Vs. Sold')"
"GARCO BUILDING SYSTEMS",11.685282802,94.814419939,-12.885282802,-1.2,121.87,93.234717198,104.92
"SCHUFF STEEL-STOCKTON",-0.1,33.32372719,0,-0.1,72.14,72.24,72.14
"SMITH IRONWORKS",-0.1,133.99813886,32.01133815,31.91133815,144.73,109.94,109.84
"PAULS WELDING ",-0.1,72.01905379,0,-0.1,67.95,68.05,67.95
"KASCO FAB",-0.1,152.38482772,-0.3,-0.4,111.72,111.82,111.72
"HOBBY LOBBY",-0.1,-0.1,0,-0.1,66.63,0,-0.1
"NCI BUILDING SYSTEMS",2.93,245.494276687,-3.100599085,-0.170599085,385.56,379.35,382.28
"TALLEY METAL FABRICATION ",-0.1,53.381889126,-0.1,-0.2,61.55,61.65,61.55
"ICON STRUCTURES",-0.1,96.3934691,-0.1,-0.2,114.79,114.89,114.79
"RAM STRUCTURAL STEEL",-0.1,48.19673455,0,-0.1,58.05,58.15,58.05
"NUNO IRON & MFG. INC",-0.1,24.94721393,0,-0.1,57.5,57.6,57.5
"CORLE BUILDING SYSTEMS",49.64755583,30.355062679,-50.04755583,-0.4,169.47,66.20244417,115.85
"ENCORE STEEL INC.",34.24747801,49.36700215,-34.44747801,-0.2,53.42,19.17252199,53.42
"CROSS STEEL",-0.1,48.17371052,0,-0.1,52.18,52.28,52.18
"FIERRO ENTERPRISES, INC.",-0.1,92.01055808,-0.1,-0.2,99.47,99.57,99.47
"COLORADO STRUCTURES INC.",-0.1,50.57889736,0,-0.1,52.1,52.2,52.1
"CANRON WESTERN CONSTUCTORS INC",-0.1,20.19150625,-0.2,-0.3,48.29,48.39,48.29
"KDR STEEL & MISC. METALS",34.73545456,164.63702004,69.03766817,103.77312273,129.85,30.62454544,65.36
"HILO  ERECTORS ",-0.1,59.7143927,59.8143927,59.7143927,64.49,0,-0.1
"E WEST CONSTRUCTION INC",-0.1,101.98499846,-0.2,-0.3,132.72,132.82,132.72
"FIFE METAL FABRICATING INC",-0.1,66.971535852,8.242009822,8.142009822,90.79,81.77,81.67
"ACCURATE STEEL ESTIMATING, LLC",-0.1,52.94387794,-0.1,-0.2,57.18,57.28,57.18
"JV DRIVER",-0.1,41.44252349,-0.1,-0.2,44.76,44.86,44.76
"ANDERSON STEEL",-0.1,41.44252349,0,-0.1,44.76,44.86,44.76
"ALSTATE STEEL",-0.1,41.44252349,-0.1,-0.2,44.76,44.86,44.76
"ALIGNED ENGINEERING",-0.1,39.9887355,-0.1,-0.2,59.42,59.52,59.42
"METAL-WELD SPECIALITIES ",-0.1,40.51245367,-0.1,-0.2,43.75,43.85,43.75
"TRIAD STEEL SERVICES, INC",-0.1,40.51245367,-0.1,-0.2,43.75,43.85,43.75
"HOLLY STEEL ",-0.1,38.69380856,-0.1,-0.2,41.79,41.89,41.79
WILDECK,-0.1,37.273553757,-0.5,-0.6,42.94,43.04,42.94
"STEELE SOLUTIONS INC",-0.1,38.234624609,-0.2,-0.3,41.29,41.39,41.29
"EXBON DEVELOPMENT INC ",-0.1,24.72703159,0,-0.1,34.88,34.98,34.88
"BLUESCOPE CSS  ",-0.1,31.01636233,-0.3,-0.4,33.61,33.71,33.61
"BLUESCOPE CSS",-0.1,41.558028489,-0.5,-0.6,94.41,94.51,94.41
"VP BUILDINGS - CA",-0.1,170.16568948,-2.5,-2.6,202.7,202.8,202.7
"FACILITY MAKERS INC",-0.1,93.86386372,16.75567548,16.65567548,101.22,83.16,83.06
"AFAKORI INC.",-0.1,57.04461495,27.76357901,27.66357901,51.77,31.72,31.62
"VERDA STEEL GROUP",28.27907646,29.19364949,0.814573029999998,29.09364949,31.53,-28.27907646,0
"KERN STEEL FABRICATION",-0.1,60.327398131,-0.4,-0.5,63.87,63.97,63.87
"CLARK STEEL FABRICATORS",-0.1,28.79597163,0,-0.1,31.1,31.2,31.1
"SCHUFF STEEL MANAGEMENT-SW",-0.1,39.46044916,0,-0.1,30.38,30.48,30.38
"J.B. STEEL",-0.1,26.47473609,-0.1,-0.2,28.59,28.69,28.59
"ALDI CORPORATE BUYING",-0.1,26.244666,0,-0.1,28.35,28.45,28.35
"ABLE STEEL FABRICATORS, INC.",-0.1,52.137735813,-0.5,-0.6,30.21,30.31,30.21
"W.R. NEWMAN & ASSOC, INC",24.50478746,25.0674363,0.562648840000001,25.0674363,27.07,-24.60478746,-0.1
"MORELOCK & COMPANY",-0.1,25.0674363,25.1674363,25.0674363,27.07,0,-0.1
"SAGUARO STEEL INDUSTRIES, LLC",-0.1,25.0674363,25.0674363,24.9674363,27.07,0.1,0
